Date,JPM UN Equity,USB UN Equity,GS UN Equity,FB UW Equity,AAPL UW Equity,GOOGL UW Equity,GM UN Equity,F UN Equity
11/02/2016,53.07,37.45,140.69,101.91,93.7,706.36,26.9,11.17
12/02/2016,57.49,39.1,146.13,102.01,93.99,706.89,27.71,11.55
16/02/2016,58.35,40.19,149.02,101.61,96.64,717.64,28.58,11.87
17/02/2016,58.77,40.12,150.94,105.2,98.12,731.97,29.27,12.27
18/02/2016,57.81,39.49,147.73,103.47,96.26,717.51,29.03,12.26
19/02/2016,57.82,39.46,146.91,104.57,96.04,722.11,28.78,12.1
22/02/2016,58.57,40.23,148.79,107.16,96.88,729.05,29.63,12.56
23/02/2016,56.12,38.87,144.91,105.46,94.69,717.29,29.38,12.42
24/02/2016,56.14,38.44,145.56,106.88,96.1,720.9,28.84,12.08
25/02/2016,57.01,39.14,148.25,108.07,96.76,729.12,29.5,12.39
26/02/2016,57.54,39.29,150.25,107.92,96.91,724.86,29.63,12.47
29/02/2016,56.3,38.52,149.53,106.92,96.69,717.22,29.44,12.51
01/03/2016,59.2,39.9,154.65,109.82,100.53,742.17,30.01,13.09
02/03/2016,59.76,40.53,154.2,109.95,100.75,739.48,30.15,13.22
03/03/2016,59.96,40.77,155.33,109.58,101.5,731.59,31.07,13.54
04/03/2016,60.05,41.03,156.84,108.39,103.01,730.22,31.37,13.59
07/03/2016,59.94,40.77,155.35,105.73,101.87,712.8,31.59,13.62
08/03/2016,58.78,39.85,151.6,105.93,101.03,713.53,30.68,13.23
09/03/2016,59.12,39.76,149.91,107.51,101.12,725.41,30.54,13.19
10/03/2016,58.61,39.51,151.02,107.32,101.17,732.17,30.82,13.15
11/03/2016,59.34,40.46,153.94,109.41,102.26,744.87,31.26,13.29
14/03/2016,59.12,40.49,153.49,109.89,102.52,750.24,31.18,13.27
15/03/2016,59.2,40.79,152.03,110.67,104.58,750.57,31.05,13.23
16/03/2016,58.92,40.54,150.54,112.18,105.97,757.36,31.69,13.5
17/03/2016,58.75,40.69,152.91,111.02,105.8,758.48,31.96,13.47
18/03/2016,60.48,41.32,157.6,111.45,105.92,755.41,31.96,13.64
21/03/2016,60.46,41.38,156.29,111.85,105.91,762.16,32.08,13.66
22/03/2016,60.24,41.32,154.2,112.25,106.72,760.05,31.9,13.59
23/03/2016,59.94,41.19,154.08,112.54,106.13,757.56,31.31,13.26
24/03/2016,59.48,40.78,153,113.05,105.67,754.84,30.96,13.06
28/03/2016,59.4,40.69,153.84,113.69,105.19,753.28,31.02,13.09
29/03/2016,59.03,40.39,155.03,116.14,107.68,765.89,31.19,13.2
30/03/2016,59.71,40.99,156.5,114.7,109.56,768.34,30.99,13.35
31/03/2016,59.22,40.59,156.98,114.1,108.99,762.9,31.43,13.5
01/04/2016,59.87,40.7,159.82,116.06,109.99,769.67,30.47,13.1
04/04/2016,59.2,40.68,157.77,112.55,111.12,765.12,29.9,12.8
