Date,JPM UN Equity,USB UN Equity,GS UN Equity,FB UW Equity,AAPL UW Equity,GOOGL UW Equity,GM UN Equity,F UN Equity
23/05/2017,85.76,51.96,219.64,148.07,153.8,970.55,33.22,11.05
24/05/2017,85.71,51.79,223.83,150.04,153.34,977.61,33.2,10.96
25/05/2017,85.35,51.77,222.47,151.96,153.87,991.86,32.6,10.86
26/05/2017,85.36,51.44,223.53,152.13,153.61,993.27,33.07,10.93
30/05/2017,83.9,51.1,218.42,152.38,153.67,996.17,33.53,11.08
31/05/2017,82.15,50.89,211.26,151.46,152.76,987.09,33.93,11.12
01/06/2017,83.06,51.53,215.01,151.53,153.18,988.29,34.43,11.41
02/06/2017,82.64,51.3,213.31,153.61,155.45,996.12,34.45,11.35
05/06/2017,82.79,51.33,213.99,153.63,153.93,1003.88,34.46,11.25
06/06/2017,82.96,50.88,214.53,152.81,154.45,996.68,34.43,11.12
07/06/2017,83.91,51.14,215.78,153.12,155.37,1001.59,34.34,11.07
08/06/2017,84.95,51.78,218.76,154.71,154.99,1004.28,34.11,11.1
09/06/2017,86.96,52.89,222.44,149.6,148.98,970.12,34.34,11.13
12/06/2017,86.98,52.85,221.91,148.44,145.42,961.81,34.68,11.28
13/06/2017,87.27,52.94,224.2,150.68,146.59,970.5,34.51,11.27
14/06/2017,87.09,52.84,226.51,150.25,145.16,967.93,34.61,11.22
15/06/2017,86.57,52.38,223.23,149.8,144.29,960.18,34.6,11.24
16/06/2017,86.18,52.27,221.81,150.64,142.27,958.62,34.29,11.22
19/06/2017,88.07,52.57,226.13,152.87,146.34,975.22,34.35,11.24
20/06/2017,87.52,52.34,225.1,152.25,145.01,968.99,34.4,11.12
21/06/2017,87.12,52,222.49,153.91,145.87,978.59,34.13,11.04
22/06/2017,87.02,51.3,219.77,153.4,145.63,976.62,34.19,11.13
23/06/2017,86.86,50.77,217.19,155.07,146.28,986.09,34.2,11.04
26/06/2017,87.24,51.01,220.44,153.59,145.82,972.09,34.52,11.18
27/06/2017,88.05,51.42,220.28,150.58,143.73,948.09,34.21,11.08
28/06/2017,89.82,51.98,223.22,153.24,145.83,961.01,34.58,11.09
29/06/2017,91.15,51.78,224.41,151.04,143.68,937.82,34.86,11.17
30/06/2017,91.4,51.92,221.9,150.98,144.02,929.68,34.93,11.19
03/07/2017,92.75,52.58,227.28,148.43,143.5,919.46,35.57,11.56
05/07/2017,93.68,52.66,228.04,150.34,144.09,932.26,35.01,11.3
06/07/2017,93.38,52.18,226.69,148.82,142.73,927.69,34.87,11.18
07/07/2017,93.85,52.46,225.28,151.44,144.18,940.81,34.94,11.26
10/07/2017,93.19,52.31,225.84,153.5,145.06,951,35.19,11.34
11/07/2017,92.83,51.77,226.95,155.27,145.53,953.53,35.4,11.38
12/07/2017,92.51,51.9,227.39,158.9,145.74,967.66,35.5,11.47
13/07/2017,93.1,52.22,230.4,159.26,147.77,968.85,35.86,11.6
14/07/2017,92.25,52.08,228.6,159.97,149.04,976.91,36.35,11.68
17/07/2017,91.39,52.03,229.26,159.73,149.56,975.96,36.38,11.74
18/07/2017,91.07,51.63,223.31,162.86,150.08,986.95,36.43,11.75
19/07/2017,91.2,52.08,222.87,164.14,151.02,992.77,36.47,11.83
20/07/2017,91.2,52.48,222.3,164.53,150.34,992.19,36.41,11.7
21/07/2017,90.89,52.12,220.18,164.43,150.27,993.84,36.07,11.53
24/07/2017,91.28,52.79,218.18,166,152.09,998.31,35.82,11.29
25/07/2017,92.8,53.17,221.58,165.28,152.74,969.03,35.57,11.27
26/07/2017,91.93,52.43,222.25,165.61,153.46,965.31,35.62,11.06
27/07/2017,91.55,52.43,221.48,170.44,150.56,952.51,35.94,11.18
28/07/2017,91.28,52.57,223.61,172.45,149.5,958.33,35.77,11.17
31/07/2017,91.8,52.78,225.33,169.25,148.73,945.5,35.98,11.22
01/08/2017,93.03,52.95,227,169.86,150.05,946.56,34.76,10.95
02/08/2017,93.11,52.99,226.27,169.3,157.14,947.64,34.82,11
03/08/2017,92.5,52.68,223.99,168.59,155.57,940.3,34.77,10.93
04/08/2017,93.66,53.12,229.79,169.62,156.39,945.79,35.27,10.95
07/08/2017,94.02,53.12,232.92,171.98,158.81,945.75,35.3,10.92
08/08/2017,93.68,53.19,232.05,171.23,160.08,944.19,35.39,10.89
09/08/2017,93.53,53.23,231.01,171.18,161.06,940.08,35.28,10.92
10/08/2017,92.19,52.38,225.5,167.4,155.32,923.59,34.88,10.77
11/08/2017,91.42,52.05,224.15,168.08,157.48,930.09,34.93,10.77
14/08/2017,92.49,52.79,227.36,170.75,159.85,938.93,35.47,10.91
15/08/2017,92.73,52.98,227.59,171,161.6,938.08,35.54,10.84
16/08/2017,92.09,52.85,225.61,170,160.95,944.27,35.75,10.8
17/08/2017,90.65,51.72,221.42,166.91,157.86,927.66,35,10.64
18/08/2017,90.74,51.68,222.15,167.41,157.5,926.18,34.83,10.56
21/08/2017,90.63,51.67,220.79,167.78,157.21,920.87,34.91,10.57
22/08/2017,91.56,51.94,223.58,169.64,159.78,940.4,35.3,10.65
23/08/2017,91.67,51.81,222.74,168.71,159.98,942.58,35.49,10.71
24/08/2017,91.52,51.85,222.99,167.74,159.27,936.89,35.52,10.71
25/08/2017,91.89,52.07,222.47,166.32,159.86,930.5,35.6,10.82
28/08/2017,91.6,51.96,220.35,167.24,161.47,928.13,35.51,10.79
29/08/2017,91.1,51.5,219.96,168.05,162.91,935.75,35.52,10.84
30/08/2017,91.31,51.59,222.42,169.92,163.35,943.63,35.82,10.94
31/08/2017,90.89,51.25,223.74,171.97,164,955.24,36.54,11.03
01/09/2017,91.7,51.68,225.88,172.02,164.05,951.99,37.36,11.35
05/09/2017,89.51,50.87,217.78,170.72,162.08,941.48,37.23,11.36
06/09/2017,90.11,50.91,218.83,172.09,161.91,942.02,37.67,11.5
07/09/2017,88.53,49.86,215.84,173.21,161.26,949.89,36.91,11.4
08/09/2017,88.42,49.98,217.21,170.95,158.63,941.41,37,11.36
11/09/2017,89.79,50.88,221.06,173.51,161.5,943.29,37.35,11.41
